"","branch","type"
"Gm16551","sensory","late"
"Elavl3","sensory","late"
"Nhlh2","sensory","late"
"Frrs1l","sensory","late"
"Sstr2","sensory","late"
"Ppp1r17","sensory","late"
"Nfasc","sensory","late"
"Sncb","sensory","late"
"Onecut1","sensory","late"
"Isl1","sensory","late"
"Nhlh1","sensory","late"
"Mfap4","sensory","late"
"Rapgef5","sensory","late"
"Tlx2","sensory","late"
"Btbd17","sensory","late"
"Upp1","sensory","late"
"Dll3","sensory","late"
"Brsk2","sensory","late"
"Rgs16","sensory","late"
"Hes6","sensory","late"
"Tbc1d9","sensory","late"
"Neurod4","sensory","late"
"Neurod1","sensory","late"
"Gadd45g","sensory","late"
"Chrnb4","sensory","late"
"Neurog1","sensory","late"
"Olfm2","sensory","late"
"Tubb3","sensory","late"
"Pcdh8","sensory","late"
"Artn","sensory","late"
"Plk2","sensory","late"
"Srrm4","sensory","late"
"Mfng","sensory","late"
"Myo5b","sensory","late"
"Col26a1","sensory","late"
"Six4","sensory","late"
"Notch1","sensory","late"
"Tagln3","sensory","late"
"Eya2","sensory","late"
"Zbtb18","sensory","late"
"Spint2","sensory","late"
"5031439G07Rik","sensory","late"
"Hes5","sensory","late"
"Galnt18","sensory","late"
"Ppp1r14a","sensory","late"
"Trp53i11","sensory","early"
"Fam101a","sensory","early"
"Cthrc1","sensory","early"
"Chrna4","sensory","early"
"Fxyd3","sensory","early"
"Elavl4","sensory","early"
"Gse1","sensory","early"
"Chst1","sensory","early"
"Gamt","sensory","early"
"2510009E07Rik","sensory","early"
"Itga9","sensory","early"
"Cxx1c","sensory","early"
"Dll1","sensory","early"
"Coro1c","sensory","early"
"Ly6e","sensory","early"
"Tmsb4x","sensory","early"
"Fgd4","sensory","early"
"Vim","sensory","early"
"Car11","sensory","early"
"Igdcc3","sensory","early"
"Dbp","sensory","early"
"Prdm12","sensory","early"
"Nkx1-2","sensory","early"
"8430427H17Rik","sensory","early"
"Trim62","sensory","early"
"Cxcr4","sensory","early"
"Neurog2","sensory","early"
"Lhpp","sensory","early"
"Dusp4","sensory","early"
"5730559C18Rik","sensory","early"
"Pou4f1","sensory","early"
"Tspan18","sensory","early"
"Utrn","sensory","early"
"Timm50","sensory","early"
"Oat","sensory","early"
"Tcf12","sensory","early"
"Spsb4","sensory","early"
"Heyl","sensory","early"
"Ccnd2","sensory","early"
"Fam89a","sensory","early"
"Rdh10","sensory","early"
"Nrarp","sensory","early"
"Nedd9","sensory","early"
"Hoxb8","sensory","early"
"Tmem59l","sensory","early"
"Pmp22","sensory","early"
"C1qbp","sensory","early"
"Hoxb7","sensory","early"
"Nr6a1","sensory","early"
"Lef1","sensory","early"
"2700086A05Rik","sensory","early"
"Mira","sensory","early"
"Hoxa7","sensory","early"
"Rgcc","autonomic","late"
"Tril","autonomic","late"
"Ascl1","autonomic","late"
"Phox2b","autonomic","late"
"Limch1","autonomic","late"
"Sema3d","autonomic","late"
"Ptpru","autonomic","late"
"Flrt2","autonomic","late"
"Efemp2","autonomic","late"
"Mme","autonomic","late"
"Gstk1","autonomic","late"
"Alx1","autonomic","late"
"Ypel5","autonomic","late"
"Ndst3","autonomic","late"
"Tln1","autonomic","late"
"Vamp8","autonomic","late"
"Angptl1","autonomic","late"
"Foxc1","autonomic","late"
"Zcchc24","autonomic","late"
"Slitrk6","autonomic","late"
"Dlx1","autonomic","late"
"Cdh19","autonomic","late"
"Nid1","autonomic","late"
"Sntb1","autonomic","late"
"Peg10","autonomic","late"
"Ccl6","autonomic","late"
"Arap3","autonomic","late"
"Dlk1","autonomic","late"
"Pxdc1","autonomic","late"
"Tenc1","autonomic","late"
"Col5a1","autonomic","late"
"Meox1","autonomic","late"
"Smarca2","autonomic","late"
"Timp3","autonomic","late"
"Slit3","autonomic","late"
"Lhfpl2","autonomic","late"
"Col23a1","autonomic","early"
"Rbp1","autonomic","early"
"Plxna4","autonomic","early"
"Crabp1","autonomic","early"
"Dnajc1","autonomic","early"
"Fam198b","autonomic","early"
"Hsd11b2","autonomic","early"
"Mt1","autonomic","early"
"Smox","autonomic","early"
"Dlx2","autonomic","early"
"Anxa5","autonomic","early"
"Nlgn3","autonomic","early"
"Myl9","autonomic","early"
"Mcam","autonomic","early"
"Fam129b","autonomic","early"
"Nr2f1","autonomic","early"
"Ppap2b","autonomic","early"
"Postn","autonomic","early"
"Plvap","autonomic","early"
"Lyn","autonomic","early"
"Mamdc2","autonomic","early"
"Rai2","autonomic","early"
"Tmem98","autonomic","early"
"Pdlim1","autonomic","early"
"Lbh","autonomic","early"
"Col1a2","autonomic","early"
"Nudt7","autonomic","early"
"Zswim7","autonomic","early"
"Spon1","autonomic","early"
"Adam12","autonomic","early"
"Megf6","autonomic","early"
"Itga4","autonomic","early"
"S100a16","autonomic","early"
"Ngfr","autonomic","early"
"Pcdh1","autonomic","early"
"Serpinf1","autonomic","early"
"Jup","autonomic","early"
"Sipa1","autonomic","early"
"Ssbp4","autonomic","early"
"Mpz","autonomic","early"
"Lama4","autonomic","early"
"Tmem119","autonomic","early"
"Lasp1","autonomic","early"
"Mef2c","autonomic","early"
"Lima1","autonomic","early"
"Gfra2","autonomic","early"
"Gng11","autonomic","early"
"Ret","autonomic","early"
"Ralb","autonomic","early"
"Rhoj","autonomic","early"
"Elk3","autonomic","early"
"Camk2b","autonomic","early"
"Fbln2","autonomic","early"
"Phactr1","autonomic","early"
"Slc1a3","autonomic","early"
"Megf10","autonomic","early"
"Arhgef40","autonomic","early"
"Shroom2","autonomic","early"
"Lxn","autonomic","early"
"Ednra","autonomic","early"
"Tbx2","autonomic","early"
"Rarg","autonomic","early"
"Erbb3","autonomic","early"
"Phldb1","autonomic","early"
"S1pr2","autonomic","early"
"Fam212a","autonomic","early"
"Lmo4","autonomic","early"
"Bcar3","autonomic","early"
"BC064078","autonomic","early"
"Rhbdf1","autonomic","early"
"Jun","autonomic","early"
"Rhob","autonomic","early"
"Hs3st3b1","autonomic","early"
"Lrrfip1","autonomic","early"
"Serpine2","autonomic","early"
"Cnn2","autonomic","early"
"Spry2","autonomic","early"
"Npr3","autonomic","early"
"Klhl13","autonomic","early"
"Tnik","autonomic","early"
"Ppfibp1","autonomic","early"
"Etv5","autonomic","early"
"Ets1","autonomic","early"
"Snai1","autonomic","early"
"Pbx1","autonomic","early"
"A830082K12Rik","autonomic","early"
